1	amazon	The cutouts and buttons are placed perfectly.
1	amazon	Good audio quality.
1	amazon	I highly recommend this device to everyone!
1	amazon	Excellent sound, battery life and inconspicuous to boot!.
1	amazon	The file browser offers all the options that one needs.Handsfree is great.
1	amazon	The bose noise cancelling is amazing, which is very important for a NYC commuter.
1	amazon	I have only had it for a few weeks, but so far, so good.
1	amazon	I love all the features and form factor.
1	amazon	The price was very good and with the free shipping and all it was a good purchase.
1	amazon	It is a joy to use.
1	amazon	Good case, Excellent value.
1	amazon	This fixes all the problems.
1	amazon	I have been very satisfied with this cell phone from day one.
1	amazon	Phone now holds charge like it did when it was new.
1	amazon	Works great.
1	amazon	I like the fact that it rests lightly against your ear, rather than inside.
1	amazon	Plan on ordering from them again and again.
1	amazon	I am glad I purchased it.
1	amazon	IT'S REALLY EASY.
1	amazon	Best headset ever!!!.
0	amazon	The only thing that I think could improve is the sound leaks out from the headset.
0	amazon	Freezes frequently4.
0	amazon	Not loud enough and doesn't turn on like it should.
0	amazon	Not a good bargain.
0	amazon	I advise EVERYONE DO NOT BE FOOLED!
0	amazon	Buyer--Be Very Careful!!!!!.
0	amazon	Do Not Buy for D807...wrongly advertised for D807.
0	amazon	Was not happy.
0	amazon	Worst software ever used.... If I could give this zero stars I would.
0	amazon	What a waste.
0	amazon	Not good when wearing a hat or sunglasses.
0	amazon	Plus, I seriously do not believe it is worth its steep price point.
0	amazon	Doesn't hold charge.
0	amazon	Voice Quality, Signal Strength, Dropped Calls.
0	amazon	This phone might well be the worst I've ever had in any brand.
0	amazon	Does not fit.
0	amazon	Unreliable - I'm giving up.
0	amazon	It is unusable in a moving car at freeway speed.
0	amazon	Painful on the ear.
0	amazon	Obviously they have a terrible customer service, so you get what you pay for.
1	imdb	A great film by a great director.
1	imdb	I saw this film over Christmas, and what a great film it was!
1	imdb	The music in the film is really nice too.
1	imdb	This is such a fun and funny movie.
1	imdb	If you have not seen this movie, I definitely recommend it!
1	imdb	It Was So Cool.
1	imdb	I was particularly pleased with the acting ability of Dwight Schultz.
1	imdb	Nevertheless yet another wonderful film from the great master's stable.
1	imdb	It's a campy sort of film that's a joy to watch.
1	imdb	Great movie!
1	imdb	STEAMBOAT WILLIE is an amazingly important film to our cinema history.
1	imdb	Conclusion - I loved it.
1	imdb	And those baby owls were adorable.
1	imdb	Also the music by Mark Snow is possibly the best score I've ever heard.
1	imdb	The last 15 minutes of movie are also not bad as well.
1	imdb	In a most wonderful location lies a story of contrast.
1	imdb	She's poised and amazing.
1	imdb	But this movie really got to me.
1	imdb	I knew when I saw the film that more great things were to come from this gifted actor.
1	imdb	Of course the footage from the 70s was grainy, but that only enhanced the film.
0	imdb	The only place good for this film is in the garbage.
0	imdb	Wasted two hours.
0	imdb	There aren't death scenes like in previous movies and the f/x are terrible.
0	imdb	Regardless, the film fails on most levels.
0	imdb	You could drive a semi truck into these holes!
0	imdb	In a word, it is embarrassing.
0	imdb	Bad script, bad direction and horrible acting make this one plain bad!
0	imdb	But even the talented Carrell can't save this.
0	imdb	An hour and a half I wish I could bring back.
0	imdb	I wasn't the least bit interested.
0	imdb	You can't relate with them, hell you barely can understand them.
0	imdb	But the premise of the film was so ridiculous: that the President of the U.S.
0	imdb	My rating: just 3 out of 10.
0	imdb	The cinematography-if it can be called that-sucked.
0	imdb	Your brain will attempt to shut-down as part of a primal impulse of self-preservation.
0	imdb	Which is precisely why I am giving it such a bad review!
0	imdb	I wouldn't say they're worth 2 hours of your time, though.
0	imdb	Rating: 1 out of 10.
0	imdb	The plot doesn't hang together at all, and the acting is absolutely appalling.
0	imdb	I was bored throughout the whole damn thing.
1	yelp	It was awesome.
1	yelp	I ordered the Lemon raspberry ice cocktail which was also incredible.
1	yelp	Delicious and I will absolutely be back!
1	yelp	The waitress was friendly and happy to accomodate for vegan/veggie options.
1	yelp	Lastly, the mozzarella sticks, they were the best thing we ordered.
1	yelp	Great food and awesome service!
1	yelp	You can't beat that.
1	yelp	The croutons also taste homemade which is an extra plus.
1	yelp	Update.....went back for a second time and it was still just as amazing
1	yelp	I would recommend saving room for this!
1	yelp	I liked the patio and the service was outstanding.
1	yelp	Waitress was good though!
1	yelp	How awesome is that.
1	yelp	Favorite place in town for shawarrrrrrma!!!!!!
1	yelp	Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!
1	yelp	OMG, the food was delicioso!
1	yelp	Every time I eat here, I see caring teamwork to a professional degree.
1	yelp	One of the few places in Phoenix that I would definately go back to again .
1	yelp	Great steak, great sides, great wine, amazing desserts.
1	yelp	The goat taco didn't skimp on the meat and wow what FLAVOR!
0	yelp	The service here leaves a lot to be desired.
0	yelp	Tasted like dirt.
0	yelp	She was quite disappointed although some blame needs to be placed at her door.
0	yelp	AN HOUR... seriously?
0	yelp	Your staff spends more time talking to themselves than me.
0	yelp	He was terrible!
0	yelp	Do not waste your money here!
0	yelp	Nothing special.
0	yelp	Unfortunately, it only set us up for disapppointment with our entrees.
0	yelp	Worst food/service I've had in a while.
0	yelp	We sat another ten minutes and finally gave up and left.
0	yelp	Service sucks.
0	yelp	-Drinks took close to 30 minutes to come out at one point.
0	yelp	This place deserves one star and 90% has to do with the food.
0	yelp	The service was meh.
0	yelp	The buffet is small and all the food they offered was BLAND.
0	yelp	this is the worst sushi i have ever eat besides Costco's.
0	yelp	Kind of hard to mess up a steak but they did.
0	yelp	I paid the bill but did not tip because I felt the server did a terrible job.
0	yelp	Any grandmother can make a roasted chicken better than this one.
